"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","SHA1_HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"2","0","file:////arcwn-fp02.archives.net/homefolders$/spencero/Desktop/asa/E1%20Demo/","\\arcwn-fp02.archives.net\homefolders$\spencero\Desktop\asa\E1 Demo","E1 Demo",,"Done","","Folder",,"2016-09-28T10:50:56","false",,"",,"","",""
"3","2","file:////arcwn-fp02.archives.net/homefolders$/spencero/Desktop/asa/E1%20Demo/New%20folder/","\\arcwn-fp02.archives.net\homefolders$\spencero\Desktop\asa\E1 Demo\New folder","New folder",,"Done","","Folder",,"2016-09-28T10:54:06","false",,"",,"","",""
"4","2","file:////arcwn-fp02.archives.net/homefolders$/spencero/Desktop/asa/E1%20Demo/Press%20statements/","\\arcwn-fp02.archives.net\homefolders$\spencero\Desktop\asa\E1 Demo\Press statements","Press statements",,"Done","","Folder",,"2016-09-28T10:49:41","false",,"",,"","",""
"5","3","file:////arcwn-fp02.archives.net/homefolders$/spencero/Desktop/asa/E1%20Demo/New%20folder/New%20Microsoft%20Word%20Document.docx","\\arcwn-fp02.archives.net\homefolders$\spencero\Desktop\asa\E1 Demo\New folder\New Microsoft Word Document.docx","New Microsoft Word Document.docx","Extension","Done","0","File","docx","2016-09-28T10:51:02","false","da39a3ee5e6b4b0d3255bfef95601890afd80709","2","fmt/494","","Microsoft Office Encrypted Document","2007 Onwards","fmt/412","application/vnd.openxmlformats-officedocument.wordprocessingml.document","Microsoft Word for Windows","2007 onwards"
"6","3","file:////arcwn-fp02.archives.net/homefolders$/spencero/Desktop/asa/E1%20Demo/New%20folder/desktop.ini","\\arcwn-fp02.archives.net\homefolders$\spencero\Desktop\asa\E1 Demo\New folder\desktop.ini","desktop.ini","Extension","Done","0","File","ini","2016-09-28T10:53:52","false","da39a3ee5e6b4b0d3255bfef95601890afd80709","1","x-fmt/421","","Text Configuration file",""
"7","3","file:////arcwn-fp02.archives.net/homefolders$/spencero/Desktop/asa/E1%20Demo/New%20folder/demo.exe","\\arcwn-fp02.archives.net\homefolders$\spencero\Desktop\asa\E1 Demo\New folder\demo.exe","demo.exe",,"Done","0","File","exe","2016-09-28T10:52:18","false","da39a3ee5e6b4b0d3255bfef95601890afd80709","0",,"","",""
"8","4","file:////arcwn-fp02.archives.net/homefolders$/spencero/Desktop/asa/E1%20Demo/Press%20statements/Arts,%20Culture%20and%20Hertiage/","\\arcwn-fp02.archives.net\homefolders$\spencero\Desktop\asa\E1 Demo\Press statements\Arts, Culture and Hertiage","Arts, Culture and Hertiage",,"Done","","Folder",,"2016-09-28T10:49:40","false",,"",,"","",""
"9","8","file:////arcwn-fp02.archives.net/homefolders$/spencero/Desktop/asa/E1%20Demo/Press%20statements/Arts,%20Culture%20and%20Hertiage/advertsing%20blurbs/","\\arcwn-fp02.archives.net\homefolders$\spencero\Desktop\asa\E1 Demo\Press statements\Arts, Culture and Hertiage\advertsing blurbs","advertsing blurbs",,"Done","","Folder",,"2016-09-28T10:49:41","false",,"",,"","",""
"10","3","file:////arcwn-fp02.archives.net/homefolders$/spencero/Desktop/asa/E1%20Demo/New%20folder/Thumbs.db","\\arcwn-fp02.archives.net\homefolders$\spencero\Desktop\asa\E1 Demo\New folder\Thumbs.db","Thumbs.db","Signature","Done","18432","File","db","2016-08-16T10:33:16","false","25008a8bd4641167f25a13d27bee8f2a4464f19f","1","fmt/111","","OLE2 Compound Document Format",""
"11","9","file:////arcwn-fp02.archives.net/homefolders$/spencero/Desktop/asa/E1%20Demo/Press%20statements/Arts,%20Culture%20and%20Hertiage/advertsing%20blurbs/Mahara%20Okeroa.doc","\\arcwn-fp02.archives.net\homefolders$\spencero\Desktop\asa\E1 Demo\Press statements\Arts, Culture and Hertiage\advertsing blurbs\Mahara Okeroa.doc","Mahara Okeroa.doc","Container","Done","20992","File","doc","2006-01-27T09:31:39","false","042702267b44166b89a0a5db76f6d45774a76edf","1","fmt/40","application/msword","Microsoft Word Document","97-2003"
