score,source,target
96 , workshop/Arts Pasifika Awards 2007 .doc , workshop/Backup of Ruataniwha speech 2.wbk
96 , workshop/Arts Pasifika Awards 2007 .doc , workshop/Speech notes - Fishermen's Daughters 2008.doc
93 , workshop/Arts Pasifika Awards 2007 .doc , workshop/Suter Art Gallery .doc
94 , workshop/Arts Pasifika Awards 2007 .doc , workshop/Waitangi day Atawhai opening.doc
71 , workshop/NZ Music Month quiz answers 2006.doc , workshop/dhb changes draft.doc
72 , workshop/NZ Music Month quiz answers 2006.doc , workshop/kiwisaver amendment.doc
71 , workshop/NZ Music Month quiz answers 2006.doc , workshop/stalactites.doc
71 , workshop/NZ Music Month quiz answers 2006.doc , workshop/taiwan national day.doc
71 , workshop/NZ Music Month quiz answers 2006.doc , workshop/zero tertiary fees.doc
96 , workshop/Speech notes - Fishermen's Daughters 2008.doc , workshop/Arts Pasifika Awards 2007 .doc
96 , workshop/Speech notes - Fishermen's Daughters 2008.doc , workshop/Backup of Ruataniwha speech 2.wbk
93 , workshop/Suter Art Gallery .doc , workshop/Arts Pasifika Awards 2007 .doc
93 , workshop/Suter Art Gallery .doc , workshop/Backup of Ruataniwha speech 2.wbk
93 , workshop/Suter Art Gallery .doc , workshop/Speech notes - Fishermen's Daughters 2008.doc
94 , workshop/Waitangi day Atawhai opening.doc , workshop/Arts Pasifika Awards 2007 .doc
93 , workshop/Waitangi day Atawhai opening.doc , workshop/Backup of Ruataniwha speech 2.wbk
93 , workshop/Waitangi day Atawhai opening.doc , workshop/Speech notes - Fishermen's Daughters 2008.doc
93 , workshop/Waitangi day Atawhai opening.doc , workshop/Suter Art Gallery .doc
72 , workshop/kiwisaver amendment.doc , workshop/NZ Music Month quiz answers 2006.doc
97 , workshop/kiwisaver amendment.doc , workshop/dhb changes draft.doc
71 , workshop/stalactites.doc , workshop/NZ Music Month quiz answers 2006.doc
99 , workshop/stalactites.doc , workshop/dhb changes draft.doc
97 , workshop/stalactites.doc , workshop/kiwisaver amendment.doc
71 , workshop/taiwan national day.doc , workshop/NZ Music Month quiz answers 2006.doc
97 , workshop/taiwan national day.doc , workshop/kiwisaver amendment.doc
97 , workshop/taiwan national day.doc , workshop/stalactites.doc
71 , workshop/zero tertiary fees.doc , workshop/NZ Music Month quiz answers 2006.doc
96 , workshop/zero tertiary fees.doc , workshop/dhb changes draft.doc
96 , workshop/zero tertiary fees.doc , workshop/kiwisaver amendment.doc
96 , workshop/zero tertiary fees.doc , workshop/stalactites.doc
96 , workshop/zero tertiary fees.doc , workshop/taiwan national day.doc
