score,source,target
96,workshop-files/080507 - new prison welcomed.doc,"workshop-files/081308 - Study shows, auckland packed with entrepreneurs.doc"
82,workshop-files/ACCSafetyAwards15Aug.doc,workshop-files/NZSafetyAwards15Aug.doc
57,workshop-files/ACCSafetyAwards15Aug.doc,workshop-files/aircare 23nov2005.doc
57,workshop-files/ACCSafetyAwards15Aug.doc,workshop-files/aircare 24nov2005.doc
96,workshop-files/Arts Pasifika Awards 2007 .doc,workshop-files/Backup of Ruataniwha speech 2.wbk
96,workshop-files/Arts Pasifika Awards 2007 .doc,workshop-files/Speech notes - Fishermen's Daughters 2008.doc
93,workshop-files/Arts Pasifika Awards 2007 .doc,workshop-files/Suter Art Gallery .doc
94,workshop-files/Arts Pasifika Awards 2007 .doc,workshop-files/Waitangi day Atawhai opening.doc
57,workshop-files/Auckland roading projects start 21Nov03.doc,workshop-files/Bike regs.doc
47,workshop-files/Auckland roading projects start 21Nov03.doc,workshop-files/Geographical Indications 04.DOC
58,workshop-files/Auckland roading projects start 21Nov03.doc,workshop-files/NZ music a hit in New Yorkl.doc
68,workshop-files/Auckland roading projects start 21Nov03.doc,workshop-files/New NZSO CEO 8May02.doc
30,workshop-files/Auckland roading projects start 21Nov03.doc,workshop-files/Otago Heritage Seminar 10Oct02.doc
60,workshop-files/Auckland roading projects start 21Nov03.doc,workshop-files/Sargent gallery.doc
58,workshop-files/Auckland roading projects start 21Nov03.doc,workshop-files/Sarjeant gallery.doc
63,workshop-files/Auckland roading projects start 21Nov03.doc,workshop-files/Tui NZ music awards 10May02.doc
60,workshop-files/Auckland roading projects start 21Nov03.doc,workshop-files/te papa 05.doc
96,workshop-files/Backup of NZ Music Month quiz answers 2006.wbk,workshop-files/NZ Music Month quiz answers 2006.doc
71,workshop-files/Backup of NZ Music Month quiz answers 2006.wbk,workshop-files/belgrave.doc
69,workshop-files/Backup of NZ Music Month quiz answers 2006.wbk,workshop-files/dhb changes draft.doc
