score,source,target
0.00,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//stalactites.doc
0.00,/workshop-files//Auckland roading projects start 21Nov03.doc,/workshop-files//dhb changes draft.doc
0.23,/workshop-files//zero tertiary fees.doc,/workshop-files//080507 - new prison welcomed.doc
0.23,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//kiwisaver amendment.doc
0.23,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//taiwan national day.doc
0.23,/workshop-files//belgrave.doc,/workshop-files//Auckland roading projects start 21Nov03.doc
0.46,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//key reaction.doc
0.46,/workshop-files//key reaction.doc,/workshop-files//NZSafetyAwards15Aug.doc
0.68,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//stalactites.doc
0.68,/workshop-files//NZSafetyAwards15Aug.doc,/workshop-files//dhb changes draft.doc
0.91,/workshop-files//zero tertiary fees.doc,/workshop-files//NZSafetyAwards15Aug.doc
0.91,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//belgrave.doc
0.91,/workshop-files//Auckland roading projects start 21Nov03.doc,/workshop-files//dhb changes.doc
0.91,/workshop-files//air nz future.doc,/workshop-files//election date.doc
0.91,/workshop-files//stalactites.doc,/workshop-files//supreme court.doc
1.14,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//election date.doc
1.14,/workshop-files//belgrave.doc,/workshop-files//New NZSO CEO 8May02.doc
1.14,/workshop-files//belgrave.doc,/workshop-files//NZSafetyAwards15Aug.doc
1.14,/workshop-files//key reaction.doc,/workshop-files//Sarjeant gallery.doc
1.14,/workshop-files//NZSafetyAwards15Aug.doc,/workshop-files//dhb changes.doc
1.37,/workshop-files//supreme court.doc,/workshop-files//kiwisaver amendment.doc
1.59,/workshop-files//zero tertiary fees.doc,/workshop-files//air nz future.doc
1.59,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//kiwisaver amendment.doc
1.59,/workshop-files//air nz future.doc,/workshop-files//kiwisaver amendment.doc
1.59,/workshop-files//Waitangi day Atawhai opening.doc,/workshop-files//mccarthyism.doc
1.82,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//dhb changes draft.doc
2.05,/workshop-files//Grey Power Manawatu 15 July.doc,/workshop-files//Geographical Indications 04.DOC
2.05,/workshop-files//air nz future.doc,/workshop-files//stalactites.doc
2.05,/workshop-files//air nz future.doc,/workshop-files//dhb changes.doc
2.05,/workshop-files//Sarjeant gallery.doc,/workshop-files//taiwan national day.doc
2.28,/workshop-files//zero tertiary fees.doc,/workshop-files//supreme court.doc
2.51,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//dhb changes draft.doc
2.51,/workshop-files//Bike regs.doc,/workshop-files//taiwan national day.doc
2.51,/workshop-files//key reaction.doc,/workshop-files//Waitangi day Atawhai opening.doc
2.73,/workshop-files//zero tertiary fees.doc,/workshop-files//Backup of Ruataniwha speech 2.wbk
2.73,/workshop-files//air nz future.doc,/workshop-files//dhb changes draft.doc
2.73,/workshop-files//mccarthyism.doc,/workshop-files//supreme court.doc
2.96,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//stalactites.doc
2.96,/workshop-files//belgrave.doc,/workshop-files//air nz future.doc
2.96,/workshop-files//Sargent gallery.doc,/workshop-files//taiwan national day.doc
2.96,/workshop-files//supreme court.doc,/workshop-files//dhb changes.doc
3.19,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//mccarthyism.doc
3.19,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//kiwisaver amendment.doc
3.19,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//belgrave.doc
3.19,/workshop-files//Arts Pasifika Awards 2007 .doc,/workshop-files//dhb changes.doc
3.42,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//taiwan national day.doc
3.42,/workshop-files//air nz future.doc,/workshop-files//mccarthyism.doc
3.42,/workshop-files//supreme court.doc,/workshop-files//dhb changes draft.doc
3.64,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//dhb changes draft.doc
3.64,/workshop-files//belgrave.doc,/workshop-files//supreme court.doc
3.87,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//zero tertiary fees.doc
3.87,/workshop-files//key reaction.doc,/workshop-files//supreme court.doc
