score,source,target
433,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//zero tertiary fees.doc
501,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc
107,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//aircare 23nov2005.doc
89,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Tui NZ music awards 10May02.doc
62,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Bike regs.doc
113,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//NZ music a hit in New Yorkl.doc
618,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Suter Art Gallery .doc
632,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Backup of Ruataniwha speech 2.wbk
430,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//belgrave.doc
464,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk
185,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Otago Heritage Seminar 10Oct02.doc
490,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Grey Power Manawatu 15 July.doc
84,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//aircare 24nov2005.doc
174,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//te papa 05.doc
630,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc
69,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Auckland roading projects start 21Nov03.doc
263,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//air nz future.doc
562,/workshop-files//ACCSafetyAwards15Aug.doc,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc"
437,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//stalactites.doc
430,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//key reaction.doc
645,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Arts Pasifika Awards 2007 .doc
82,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//New NZSO CEO 8May02.doc
80,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Sargent gallery.doc
631,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Waitangi day Atawhai opening.doc
436,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//mccarthyism.doc
73,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Sarjeant gallery.doc
16,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//NZSafetyAwards15Aug.doc
265,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//supreme court.doc
558,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//080507 - new prison welcomed.doc
436,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//kiwisaver amendment.doc
124,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Geographical Indications 04.DOC
402,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//taiwan national day.doc
465,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
432,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//dhb changes.doc
